address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"355 30th St NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1961,Forced Air Natural Gas,Central Air,1,,6098,130,,360,4322,48,105,3336,3336
"3065 Jackpine Dr, Waukee, IA 50263",50263,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,,14375,348,,1266,15195,7,8,3336,759
"8302 Westown Pkwy UNIT 4110, West Des Moines, IA 50266",50266,Townhouse,2004,Forced Air Gas Natural Gas,Central Air,2,159,436,131,,294,3532,1,12,,
"1818 Laurel St, Burlington, IA 52601",52601,Single Family Residence,1920,Forced Air,None,2,,4791,12,,26,306,30,153,,
"2504 N Harrison St #1D, Davenport, IA 52803",52803,,,,,,,,,,,,56,46,759,3827
"580 Linden Dr #304, Arnolds Park, IA 51331",51331,,,,,,,,,,,,45,93,,
"0 Fehrway Dr, Arnolds Park, IA 51331",51331,Residential,,,,,,,,,913,10952,48,93,,
"9533 University Ave APT 1, Clive, IA 50325",50325,Townhouse,1973,Forced Air Gas Natural Gas,Central Air,,223,,91,,149,1785,71,13,3827,699
"133 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,30,59,699,750
"932 Boston Way, Coralville, IA 52241",52241,,,,,,,,,,,,0,11,750,3127
"920 8th Ave, Council Bluffs, IA 51501",51501,SINGLE_FAMILY,1910,Forced air Gas,Central,,,7150,102,,313,3761,58,120,3127,5845
"9948 Thorton Dr, Johnston, IA 50131",50131,Townhouse,2018,Forced Air Gas Natural Gas,Central Air,3,180,10454,226,,818,9815,0,12,5845,1198
"401 Crestwood Dr, Huxley, IA 50124",50124,Single Family Residence,2020,Forced Air Gas Natural Gas,Central Air,3,,17424,229,,729,8746,50,31,,
"1109 S 46th St, West Des Moines, IA 50265",50265,Single Family Residence,2004,Forced Air Gas Natural Gas,Central Air,3,,13939,207,,1371,16448,17,34,,
"1716 S Wilson Ave, Mason City, IA 50401",50401,Single Family Residence,1940,Forced Air,Central Air,2,,20909,53,,180,2155,22,149,1198,2925
"3211 W 9th St, Waterloo, IA 50702",50702,Single Family Residence,1962,Forced Air,Ceiling Fan(s) Central Air,2,,10454,75,,359,4307,33,134,2925,2484
